,Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,Prior ASG Appearances,AS Last Year?,Play Pct.,Adjusted PTS,Adjusted REB,Adjusted AST,Adjusted STL,Adjusted BLK,Adjusted TOV,Adjusted 3PM,AS Prob.
0,2020,99.5,Aaron Gordon,ORL,13,19,33,13,13.8,7.2,4.2,0.7,0.8,2.8,0.528,1.6,0.7,23.3,10.8,0,0,0.5757575757575758,0.13869346733668342,0.07236180904522613,0.042211055276381915,0.007035175879396984,0.008040201005025126,0.028140703517587937,0.016080402010050253,0.9638075270643952
1,2020,99.5,Aaron Holiday,IND,4,30,30,15,7.4,1.3,1.8,0.5,0.1,0.8,0.465,1.1,0.4,19.1,4.3,0,0,1.0,0.07437185929648242,0.01306532663316583,0.018090452261306532,0.005025125628140704,0.0010050251256281408,0.008040201005025126,0.011055276381909548,0.016266610271102176
2,2020,99.5,Aaron Nesmith,BOS,9,17,32,15,4.4,2.6,0.4,0.2,0.3,0.6,0.557,1.0,0.2,12.2,3.4,0,0,0.53125,0.044221105527638194,0.02613065326633166,0.004020100502512563,0.0020100502512562816,0.003015075376884422,0.006030150753768844,0.010050251256281407,8.373160187505948e-05
3,2020,99.5,Abdel Nader,PHO,4,15,31,20,6.0,2.1,0.9,0.3,0.1,0.6,0.609,0.7,0.2,19.5,8.9,0,0,0.4838709677419355,0.06030150753768844,0.021105527638190957,0.009045226130653266,0.003015075376884422,0.0010050251256281408,0.006030150753768844,0.007035175879396984,0.004368930818173216
4,2020,99.5,Adam Mokoka,CHI,7,7,31,15,1.6,0.6,0.6,0.3,0.1,0.3,0.39299999999999996,0.1,0.0,16.3,4.0,0,0,0.22580645161290322,0.016080402010050253,0.006030150753768844,0.006030150753768844,0.003015075376884422,0.0010050251256281408,0.003015075376884422,0.0010050251256281408,4.2477211160231316e-06
5,2020,99.5,Al Horford,OKC,12,22,32,13,14.6,6.9,3.7,0.9,0.8,1.1,0.541,2.1,0.9,22.5,12.9,5,0,0.6875,0.14673366834170853,0.06934673366834171,0.03718592964824121,0.009045226130653266,0.008040201005025126,0.011055276381909548,0.021105527638190957,0.9994825677051046
6,2020,99.5,Al-Farouq Aminu,ORL,13,6,33,13,3.2,3.5,1.8,1.2,0.5,1.3,0.47,0.3,0.2,13.0,7.7,0,0,0.18181818181818182,0.032160804020100506,0.035175879396984924,0.018090452261306532,0.012060301507537688,0.005025125628140704,0.01306532663316583,0.003015075376884422,2.734876969515325e-05
7,2020,99.5,Alec Burks,NYK,6,21,33,16,11.6,4.7,2.0,0.7,0.2,1.1,0.57,2.1,0.7,19.7,10.2,0,0,0.6363636363636364,0.11658291457286432,0.04723618090452261,0.020100502512562814,0.007035175879396984,0.0020100502512562816,0.011055276381909548,0.021105527638190957,0.6348691516382978
8,2020,99.5,Aleksej Pokusevski,OKC,12,17,32,13,3.3,3.5,1.2,0.5,1.1,1.3,0.301,0.6,0.5,16.9,3.9,0,0,0.53125,0.03316582914572864,0.035175879396984924,0.012060301507537688,0.005025125628140704,0.011055276381909548,0.01306532663316583,0.006030150753768844,0.0002851611397060821
9,2020,99.5,Alex Caruso,LAL,3,26,33,22,5.3,2.5,2.3,1.0,0.2,1.2,0.531,0.9,0.9,13.8,8.0,0,0,0.7878787878787878,0.053266331658291456,0.02512562814070352,0.023115577889447233,0.010050251256281407,0.0020100502512562816,0.012060301507537688,0.009045226130653266,0.015932755369001073
10,2020,99.5,Alex Len,TOR,5,7,33,16,2.3,1.6,0.4,0.1,0.9,1.1,0.633,0.4,0.1,11.7,9.4,0,0,0.21212121212121213,0.023115577889447233,0.016080402010050253,0.004020100502512563,0.0010050251256281408,0.009045226130653266,0.011055276381909548,0.004020100502512563,0.0002202432771873038
11,2020,99.5,Alfonzo McKinnie,LAL,3,16,33,22,1.9,1.1,0.1,0.1,0.0,0.1,0.6890000000000001,0.3,0.1,17.7,11.7,0,0,0.48484848484848486,0.01909547738693467,0.011055276381909548,0.0010050251256281408,0.0010050251256281408,0.0,0.0010050251256281408,0.003015075376884422,0.00016639977720521467
12,2020,99.5,Amir Coffey,LAC,2,20,34,23,2.8,0.8,0.4,0.2,0.0,0.4,0.637,0.6,0.1,14.9,7.3,0,0,0.5882352941176471,0.028140703517587937,0.008040201005025126,0.004020100502512563,0.0020100502512562816,0.0,0.004020100502512563,0.006030150753768844,0.00018448974132302085
13,2020,99.5,Andre Drummond,CLE,14,25,33,12,17.5,13.5,2.6,1.6,1.2,3.2,0.5,0.0,1.3,30.9,15.3,2,0,0.7575757575757576,0.17587939698492464,0.135678391959799,0.02613065326633166,0.016080402010050253,0.012060301507537688,0.032160804020100506,0.0,0.9999875493875122
14,2020,99.5,Andre Iguodala,MIA,10,30,32,15,4.6,3.6,2.3,1.0,0.5,1.1,0.527,1.1,1.0,11.3,8.1,1,0,0.9375,0.046231155778894466,0.036180904522613064,0.023115577889447233,0.010050251256281407,0.005025125628140704,0.011055276381909548,0.011055276381909548,0.005645540466619048
15,2020,99.5,Andre Roberson,BRK,2,2,34,22,0.0,2.5,1.0,0.5,0.5,0.5,0.0,0.0,0.0,7.9,4.8,0,0,0.058823529411764705,0.0,0.02512562814070352,0.010050251256281407,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.0,9.686462768552208e-06
16,2020,99.5,Andrew Wiggins,GSW,7,33,33,18,17.5,4.6,2.2,0.8,1.2,1.9,0.5529999999999999,1.8,1.3,23.2,8.9,0,0,1.0,0.17587939698492464,0.046231155778894466,0.022110552763819097,0.008040201005025126,0.012060301507537688,0.01909547738693467,0.018090452261306532,0.9996862117553191
17,2020,99.5,Anfernee Simons,POR,5,28,31,18,8.7,2.5,1.2,0.2,0.2,0.8,0.561,2.1,0.1,20.5,7.4,0,0,0.9032258064516129,0.08743718592964823,0.02512562814070352,0.012060301507537688,0.0020100502512562816,0.0020100502512562816,0.008040201005025126,0.021105527638190957,0.05069536787022825
18,2020,99.5,Anthony Edwards,MIN,15,33,33,7,14.3,3.9,2.6,0.8,0.4,1.7,0.46799999999999997,1.9,0.5,25.0,7.4,0,0,1.0,0.14371859296482412,0.03919597989949749,0.02613065326633166,0.008040201005025126,0.004020100502512563,0.017085427135678392,0.01909547738693467,0.46103838614814846
19,2020,99.5,Anthony Gill,WAS,12,10,30,12,1.0,1.9,0.3,0.3,0.2,0.3,0.425,0.1,0.1,9.4,9.5,0,0,0.3333333333333333,0.010050251256281407,0.01909547738693467,0.003015075376884422,0.003015075376884422,0.0020100502512562816,0.003015075376884422,0.0010050251256281408,1.1520526709607937e-06
20,2020,99.5,Anžejs Pasečņiks,WAS,12,1,30,12,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,41.5,-26.0,0,0,0.03333333333333333,0.0,0.010050251256281407,0.010050251256281407,0.0,0.0,0.05025125628140704,0.0,3.762896144773491e-09
